               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038102,            0.013835,            0.014826,             0.57442,             0.83333,             0.96083,             0.72694,            0.021434,           0.0052592,            0.026024,           0.0032267,           0.0032267,            0.070027
                  37,            0.051191,            0.015271,            0.015592,             0.55048,             0.83333,             0.83472,             0.52141,            0.027284,           0.0051718,            0.026894,           0.0033089,           0.0033089,            0.069209
                  38,            0.045328,            0.015007,            0.020711,             0.54633,             0.83034,             0.82692,             0.60288,            0.025781,           0.0048715,            0.028217,           0.0033906,           0.0033906,            0.068391
                  39,            0.044215,            0.014432,            0.014994,                   1,             0.49662,             0.91333,             0.47819,            0.027394,           0.0050255,            0.030007,           0.0034719,           0.0034719,            0.067572
                  40,            0.045137,            0.014415,            0.018937,             0.56507,             0.83333,             0.77571,             0.34693,            0.026618,           0.0046885,             0.02455,           0.0035527,           0.0035527,            0.066753
                  41,            0.041085,            0.013489,            0.014118,             0.40535,                0.75,             0.50861,             0.33435,            0.026276,           0.0045631,             0.03531,           0.0036331,           0.0036331,            0.065933
                  42,            0.046321,            0.013372,            0.018401,             0.87437,             0.49747,             0.77199,             0.51215,            0.020251,           0.0042931,            0.039469,           0.0037131,           0.0037131,            0.065113
                  43,            0.049337,               0.014,            0.013473,                   1,             0.32758,             0.68117,             0.35313,            0.021357,            0.004256,            0.038552,           0.0037925,           0.0037925,            0.064293
                  44,            0.044867,             0.01385,            0.015884,             0.48029,             0.83311,              0.7745,             0.47272,            0.021294,           0.0043591,            0.022509,           0.0038715,           0.0038715,            0.063471
                  45,            0.047378,            0.014237,            0.018613,             0.65148,                0.75,             0.77971,              0.3062,            0.029491,           0.0040301,            0.017998,           0.0039499,           0.0039499,             0.06265
                  46,            0.049035,            0.013299,            0.011484,             0.59853,                0.75,             0.80935,             0.51449,            0.022768,           0.0042211,             0.03214,           0.0040279,           0.0040279,            0.061828
                  47,            0.047992,            0.012255,            0.011106,             0.63201,                0.75,             0.72757,              0.5131,            0.022706,            0.004027,            0.027644,           0.0041054,           0.0041054,            0.061005
                  48,             0.04842,            0.014189,            0.013761,             0.61564,                0.75,               0.646,             0.34333,            0.019277,           0.0038059,            0.030218,           0.0041823,           0.0041823,            0.060182
                  49,            0.044333,            0.012938,            0.014268,             0.64356,                0.75,             0.69815,             0.38931,            0.021048,           0.0039562,            0.028312,           0.0042587,           0.0042587,            0.059359
                  50,            0.040851,            0.011515,            0.014497,             0.76673,             0.83313,             0.81563,             0.67368,            0.017963,           0.0036533,            0.019145,           0.0043346,           0.0043346,            0.058535
                  51,             0.04702,            0.012665,            0.018801,             0.75637,                0.75,             0.82875,             0.56799,            0.020267,           0.0033771,             0.02226,           0.0044099,           0.0044099,             0.05771
                  52,            0.045778,             0.01353,            0.014074,             0.66714,                0.75,             0.76734,             0.57579,            0.020865,           0.0039209,            0.029844,           0.0044846,           0.0044846,            0.056885
                  53,            0.044763,            0.013289,            0.010692,                   1,             0.47985,              0.7286,             0.41279,            0.018359,           0.0035217,            0.033022,           0.0045588,           0.0045588,            0.056059
                  54,             0.04291,            0.012375,            0.017627,             0.74547,             0.48489,             0.42625,             0.23897,            0.022106,            0.003519,            0.040327,           0.0046324,           0.0046324,            0.055232
                  55,            0.046174,            0.014016,            0.012062,             0.47975,              0.7482,             0.71366,             0.48085,            0.022566,           0.0032941,            0.035252,           0.0047054,           0.0047054,            0.054405
                  56,             0.04869,            0.012574,           0.0099741,             0.57916,             0.73532,             0.73775,             0.37003,            0.022713,           0.0029763,            0.040618,           0.0047778,           0.0047778,            0.053578
                  57,            0.045858,             0.01202,            0.010837,             0.74145,                0.75,             0.65309,             0.53396,            0.017274,           0.0033562,            0.028875,           0.0048496,           0.0048496,             0.05275
                  58,            0.050844,            0.014316,            0.013955,             0.33769,                0.75,             0.33817,             0.23971,            0.029408,           0.0033981,            0.025202,           0.0049208,           0.0049208,            0.051921
                  59,             0.04686,            0.012678,            0.010934,             0.83425,             0.74776,             0.76476,             0.47042,            0.025075,           0.0035782,              0.0199,           0.0049914,           0.0049914,            0.051091
                  60,            0.049234,             0.01274,            0.011127,                   1,             0.81698,             0.86536,             0.59427,            0.019027,           0.0032806,            0.019197,           0.0050614,           0.0050614,            0.050261
                  61,            0.044424,             0.01089,            0.011109,             0.62333,             0.74991,             0.71488,             0.28496,             0.02382,           0.0033354,            0.028432,           0.0051307,           0.0051307,            0.049431
                  62,            0.038609,            0.010587,           0.0090677,             0.68194,             0.74969,             0.79653,             0.58865,            0.019741,           0.0035001,            0.032068,           0.0051993,           0.0051993,            0.048599
                  63,            0.045315,            0.011154,           0.0099439,              0.6403,                0.75,             0.80574,             0.49245,            0.023775,           0.0032984,            0.030612,           0.0052674,           0.0052674,            0.047767
                  64,            0.041522,            0.012263,           0.0097879,             0.47884,                0.75,             0.70853,             0.55023,            0.023945,            0.002883,            0.027645,           0.0053347,           0.0053347,            0.046935
                  65,            0.043725,              0.0125,            0.013265,             0.78477,                0.75,             0.76178,             0.51831,            0.021935,           0.0028946,            0.026543,           0.0054014,           0.0054014,            0.046101
                  66,            0.041064,            0.011805,           0.0098186,             0.79031,             0.74973,             0.78725,             0.36438,            0.022392,           0.0031089,            0.025547,           0.0054674,           0.0054674,            0.045267
                  67,            0.033567,            0.011512,            0.005534,             0.75232,                0.75,              0.7827,             0.55795,             0.01758,           0.0033594,            0.029287,           0.0055327,           0.0055327,            0.044433
                  68,            0.039358,            0.011855,           0.0095965,             0.69262,             0.41667,             0.48225,             0.23421,            0.025555,           0.0060674,            0.021841,           0.0055973,           0.0055973,            0.043597
                  69,            0.040276,            0.011761,           0.0078826,              0.5356,             0.66667,             0.68793,               0.513,            0.020436,           0.0046962,            0.017168,           0.0056613,           0.0056613,            0.042761
                  70,            0.038072,            0.011892,            0.007188,             0.83244,             0.66667,             0.79252,             0.39021,            0.022084,           0.0038991,            0.024455,           0.0057245,           0.0057245,            0.041925
                  71,            0.043444,            0.011683,           0.0082105,             0.75178,             0.66667,             0.78574,             0.29863,            0.022567,           0.0032587,             0.02425,            0.005787,            0.005787,            0.041087
                  72,            0.041318,            0.012932,            0.013005,             0.82859,             0.66667,             0.85486,             0.48125,            0.018628,           0.0035876,            0.011936,           0.0058488,           0.0058488,            0.040249
                  73,            0.038812,            0.011321,           0.0042887,             0.71392,             0.71218,             0.81187,             0.72473,            0.019879,           0.0035857,           0.0098969,           0.0059099,           0.0059099,             0.03941
                  74,             0.04011,            0.012174,           0.0078463,             0.56468,             0.97239,             0.79986,             0.42391,            0.017743,            0.003305,            0.008824,           0.0059702,           0.0059702,             0.03857
                  75,            0.037579,            0.010815,            0.006976,             0.74128,             0.83333,             0.92676,             0.44437,            0.019661,           0.0031134,            0.015513,           0.0060298,           0.0060298,             0.03773
                  76,            0.039025,            0.010767,            0.012055,             0.62446,             0.83333,             0.81126,             0.66403,             0.01667,            0.003369,            0.020927,           0.0060887,           0.0060887,            0.036889
                  77,            0.039131,            0.011668,           0.0062228,             0.68072,             0.83333,             0.88175,             0.50669,            0.020961,           0.0033549,            0.019631,           0.0061468,           0.0061468,            0.036047
                  78,            0.038352,            0.010973,           0.0082343,             0.70069,             0.83333,             0.89875,             0.63883,            0.014238,           0.0032331,            0.022617,           0.0062041,           0.0062041,            0.035204
